1,O0,100,0.002531,0.263401,-8029204310884.977539
1,O0,200,0.010432,0.511247,-19908474775567.347656
1,O0,300,0.030557,0.589063,-30606156294098.683594
1,O0,400,0.072771,0.586314,-22477705145902.039062
1,O0,500,0.142175,0.586132,-44094063420818.445312
1,O0,600,0.251428,0.572729,-4072166434998.573730
1,O0,700,0.414692,0.551413,-60581630796784.656250
1,O0,800,0.585237,0.583239,-91208831587795.843750
1,O0,900,0.831504,0.584483,-50124961081489.867188
1,O0,1000,1.141022,0.584272,-134753929618877.281250
1,O0,1100,1.520972,0.583399,-131381428668185.109375
1,O0,1200,1.978593,0.582232,-142421579117826.625000
1,O0,1300,2.519430,0.581348,-157707758797390.437500
1,O0,1400,3.150103,0.580722,-185534367521746.843750
1,O0,1500,3.961312,0.567994,-33636102911425.578125
1,O0,1600,4.844509,0.563662,-111117782382033.890625
1,O0,1700,5.733904,0.571222,-51314140219419.351562
1,O0,1800,6.850721,0.567532,-202461759923364.500000
1,O0,1900,8.058755,0.567416,-192947194171957.031250
1,O0,2000,9.591763,0.556033,-218782964683636.125000
2,O0,100,0.000746,0.893655,-8029204310884.977539
2,O0,200,0.005271,1.011826,-19908474775567.347656
2,O0,300,0.016732,1.075783,-30606156294098.683594
2,O0,400,0.038974,1.094747,-22477705145902.039062
2,O0,500,0.077775,1.071467,-44094063420818.445312
2,O0,600,0.132544,1.086432,-4072166434998.573730
2,O0,700,0.214612,1.065489,-60581630796784.656250
2,O0,800,0.353637,0.965208,-91208831587795.843750
2,O0,900,0.473393,1.026631,-50124961081489.867188
2,O0,1000,0.653710,1.019820,-134753929618877.281250
2,O0,1100,0.861268,1.030264,-131381428668185.109375
2,O0,1200,1.170034,0.984587,-142421579117826.625000
2,O0,1300,1.561693,0.937871,-157707758797390.437500
2,O0,1400,1.891170,0.967302,-185534367521746.843750
2,O0,1500,2.340255,0.961434,-33636102911425.578125
2,O0,1600,3.120459,0.875085,-111117782382033.890625
2,O0,1700,3.611651,0.906880,-51314140219419.351562
2,O0,1800,4.202085,0.925255,-202461759923364.500000
2,O0,1900,5.021321,0.910650,-192947194171957.031250
2,O0,2000,5.934601,0.898684,-218782964683636.125000
3,O0,100,0.001059,0.629525,-8029204310884.977539
3,O0,200,0.005201,1.025444,-19908474775567.347656
3,O0,300,0.015562,1.156664,-30606156294098.683594
3,O0,400,0.037521,1.137141,-22477705145902.039062
3,O0,500,0.074063,1.125168,-44094063420818.445312
3,O0,600,0.127984,1.125141,-4072166434998.573730
3,O0,700,0.203244,1.125084,-60581630796784.656250
3,O0,800,0.306619,1.113217,-91208831587795.843750
3,O0,900,0.431610,1.126017,-50124961081489.867188
3,O0,1000,0.592040,1.126050,-134753929618877.281250
3,O0,1100,0.789983,1.123231,-131381428668185.109375
3,O0,1200,1.032515,1.115722,-142421579117826.625000
3,O0,1300,1.307601,1.120117,-157707758797390.437500
3,O0,1400,1.642353,1.113849,-185534367521746.843750
3,O0,1500,2.035104,1.105595,-33636102911425.578125
3,O0,1600,2.508465,1.088581,-111117782382033.890625
3,O0,1700,3.009190,1.088444,-51314140219419.351562
3,O0,1800,3.565215,1.090537,-202461759923364.500000
3,O0,1900,4.285240,1.067074,-192947194171957.031250
3,O0,2000,4.966260,1.073913,-218782964683636.125000
4,O0,100,0.000769,0.866927,-8029204310884.977539
4,O0,200,0.002927,1.822116,-19908474775567.347656
4,O0,300,0.008953,2.010499,-30606156294098.683594
4,O0,400,0.021534,1.981363,-22477705145902.039062
4,O0,500,0.042648,1.953980,-44094063420818.445312
4,O0,600,0.070676,2.037467,-4072166434998.573730
4,O0,700,0.109305,2.092006,-60581630796784.656250
4,O0,800,0.193693,1.762239,-91208831587795.843750
4,O0,900,0.238340,2.039104,-50124961081489.867188
4,O0,1000,0.325549,2.047823,-134753929618877.281250
4,O0,1100,0.445499,1.991774,-131381428668185.109375
4,O0,1200,0.637302,1.807620,-142421579117826.625000
4,O0,1300,0.785660,1.864250,-157707758797390.437500
4,O0,1400,1.035591,1.766463,-185534367521746.843750
4,O0,1500,1.288669,1.745988,-33636102911425.578125
